!   mu    Theta      P11          P12          P33          P34
  1.0000   0.22   2927.04624      0.04813   2927.04597     -0.74527
  1.0000   0.50   2577.10711      0.22451   2577.10062     -3.46539
  0.9999   0.78   2059.69440      0.44315   2059.66268     -6.82817
  0.9998   1.06   1507.10677      0.59845   1507.02544     -9.29321
  0.9997   1.35   1022.53102      0.62828   1022.38662    -10.07473
  0.9996   1.63    654.62882      0.53361    654.42772     -9.30406
  0.9994   1.91    404.71026      0.36096    404.47412     -7.63162
  0.9993   2.20    248.70635      0.16935    248.46079     -5.73818
  0.9991   2.48    156.86447      0.00312    156.62966     -4.06489
  0.9988   2.76    104.39099     -0.11921    104.17812     -2.78382
  0.9986   3.05     74.33436     -0.20038     74.14665     -1.88887
  0.9983   3.33     56.48499     -0.25167     56.32051     -1.29794
  0.9980   3.61     45.20190     -0.28231     45.05647     -0.91891
  0.9977   3.89     37.53453     -0.29670     37.40388     -0.67742
  0.9973   4.18     31.97520     -0.29778     31.85617     -0.52123
  0.9970   4.46     27.74362     -0.29020     27.63442     -0.41642
  0.9966   4.74     24.41549     -0.27915     24.31519     -0.34274
  0.9962   5.03     21.74259     -0.26745     21.65045     -0.28921
  0.9957   5.31     19.56719     -0.25540     19.48229     -0.24981
  0.9952   5.59     17.77991     -0.24317     17.70125     -0.22042
  0.9947   5.88     16.29972     -0.23168     16.22629     -0.19729
  0.9942   6.16     15.06458     -0.22157     14.99548     -0.17679
  0.9937   6.44     14.02544     -0.21249     13.95993     -0.15645
  0.9931   6.73     13.14234     -0.20352     13.07993     -0.13620
  0.9925   7.01     12.38381     -0.19394     12.32399     -0.11779
  0.9919   7.29     11.72679     -0.18384     11.66873     -0.10264
  0.9913   7.58     11.15417     -0.17434     11.09682     -0.09087
  0.9906   7.86     10.65185     -0.16643     10.59449     -0.08198
  0.9899   8.14     10.20818     -0.15976     10.15074     -0.07559
  0.9892   8.43      9.81424     -0.15306      9.75722     -0.07095
  0.9885   8.71      9.46279     -0.14568      9.40713     -0.06676
  0.9877   8.99      9.14692     -0.13808      9.09366     -0.06198
  0.9869   9.28      8.86054     -0.13073      8.81030     -0.05654
  0.9861   9.56      8.59934     -0.12347      8.55185     -0.05094
  0.9853   9.84      8.36017     -0.11628      8.31447     -0.04551
  0.9844  10.13      8.13956     -0.10984      8.09469     -0.04040
  0.9835  10.41      7.93385     -0.10480      7.88943     -0.03602
  0.9826  10.69      7.74072     -0.10063      7.69686     -0.03292
  0.9817  10.98      7.55958     -0.09597      7.51644     -0.03120
  0.9808  11.26      7.39002     -0.08998      7.34754     -0.03015
  0.9798  11.54      7.23052     -0.08291      7.18864     -0.02873
  0.9788  11.83      7.07920     -0.07559      7.03796     -0.02635
  0.9778  12.11      6.93504     -0.06869      6.89449     -0.02319
  0.9767  12.39      6.79782     -0.06272      6.75792     -0.01997
  0.9756  12.68      6.66680     -0.05808      6.62746     -0.01749
  0.9745  12.96      6.54032     -0.05478      6.50152     -0.01620
  0.9734  13.24      6.41692     -0.05201      6.37866     -0.01603
  0.9723  13.52      6.29641     -0.04860      6.25864     -0.01643
  0.9711  13.81      6.17976     -0.04389      6.14234     -0.01670
  0.9699  14.09      6.06789     -0.03818      6.03080     -0.01633
  0.9687  14.37      5.96101     -0.03234      5.92434     -0.01515
  0.9675  14.66      5.85864     -0.02702      5.82251     -0.01319
  0.9662  14.94      5.75988     -0.02254      5.72424     -0.01059
  0.9649  15.22      5.66337     -0.01913      5.62807     -0.00768
  0.9636  15.51      5.56751     -0.01696      5.53247     -0.00511
  0.9623  15.79      5.47123     -0.01584      5.43652     -0.00372
  0.9609  16.07      5.37489     -0.01489      5.34059     -0.00396
  0.9595  16.36      5.28026     -0.01287      5.24632     -0.00546
  0.9581  16.64      5.18927     -0.00898      5.15555     -0.00704
  0.9567  16.92      5.10258     -0.00348      5.06902     -0.00744
  0.9552  17.21      5.01912      0.00249      4.98578     -0.00611
  0.9538  17.49      4.93695      0.00759      4.90387     -0.00354
  0.9523  17.77      4.85462      0.01112      4.82171     -0.00079
  0.9508  18.06      4.77194      0.01329      4.73904      0.00131
  0.9492  18.34      4.68979      0.01499      4.65686      0.00258
  0.9476  18.62      4.60937      0.01711      4.57655      0.00336
  0.9460  18.91      4.53142      0.01997      4.49888      0.00407
  0.9444  19.19      4.45590      0.02320      4.42368      0.00484
  0.9428  19.47      4.38213      0.02611      4.35010      0.00551
  0.9411  19.76      4.30916      0.02838      4.27719      0.00582
  0.9395  20.04      4.23636      0.03039      4.20435      0.00569
  0.9378  20.32      4.16363      0.03284      4.13157      0.00535
  0.9360  20.61      4.09145      0.03607      4.05934      0.00521
  0.9343  20.89      4.02058      0.03973      3.98843      0.00563
  0.9325  21.17      3.95163      0.04309      3.91948      0.00663
  0.9307  21.46      3.88473      0.04563      3.85262      0.00786
  0.9289  21.74      3.81944      0.04738      3.78735      0.00888
  0.9270  22.02      3.75499      0.04870      3.72287      0.00945
  0.9252  22.31      3.69081      0.04990      3.65860      0.00965
  0.9233  22.59      3.62685      0.05107      3.59456      0.00967
  0.9214  22.87      3.56356      0.05225      3.53120      0.00962
  0.9194  23.16      3.50146      0.05356      3.46901      0.00954
  0.9175  23.44      3.44078      0.05514      3.40819      0.00947
  0.9155  23.72      3.38142      0.05695      3.34868      0.00957
  0.9135  24.00      3.32313      0.05871      3.29025      0.00990
  0.9115  24.29      3.26566      0.06016      3.23263      0.01040
  0.9094  24.57      3.20881      0.06133      3.17560      0.01087
  0.9074  24.85      3.15246      0.06253      3.11906      0.01125
  0.9053  25.14      3.09666      0.06401      3.06308      0.01178
  0.9032  25.42      3.04169      0.06561      3.00795      0.01279
  0.9010  25.70      2.98792      0.06681      2.95397      0.01437
  0.8989  25.99      2.93551      0.06712      2.90129      0.01612
  0.8967  26.27      2.88421      0.06660      2.84968      0.01736
  0.8945  26.55      2.83346      0.06592      2.79868      0.01760
  0.8923  26.84      2.78286      0.06590      2.74788      0.01695
  0.8901  27.12      2.73244      0.06700      2.69729      0.01607
  0.8878  27.40      2.68272      0.06899      2.64733      0.01572
  0.8855  27.69      2.63426      0.07116      2.59853      0.01631
  0.8832  27.97      2.58731      0.07281      2.55117      0.01768
  0.8809  28.25      2.54165      0.07366      2.50510      0.01936
  0.8785  28.54      2.49669      0.07391      2.45982      0.02082
  0.8761  28.82      2.45195      0.07396      2.41486      0.02179
  0.8737  29.10      2.40732      0.07413      2.37005      0.02224
  0.8713  29.39      2.36316      0.07449      2.32562      0.02232
  0.8689  29.67      2.31994      0.07501      2.28202      0.02224
  0.8664  29.95      2.27792      0.07568      2.23955      0.02217
  0.8640  30.24      2.23698      0.07650      2.19820      0.02228
  0.8615  30.52      2.19671      0.07743      2.15766      0.02265
  0.8589  30.80      2.15681      0.07827      2.11756      0.02323
  0.8564  31.09      2.11723      0.07883      2.07772      0.02386
  0.8538  31.37      2.07812      0.07909      2.03821      0.02435
  0.8512  31.65      2.03963      0.07921      1.99925      0.02468
  0.8486  31.94      2.00186      0.07939      1.96109      0.02495
  0.8460  32.22      1.96491      0.07967      1.92389      0.02527
  0.8434  32.50      1.92885      0.07990      1.88771      0.02559
  0.8407  32.79      1.89367      0.07993      1.85240      0.02574
  0.8380  33.07      1.85918      0.07982      1.81765      0.02557
  0.8353  33.35      1.82509      0.07981      1.78317      0.02513
  0.8326  33.63      1.79124      0.08016      1.74889      0.02467
  0.8298  33.92      1.75777      0.08084      1.71503      0.02451
  0.8271  34.20      1.72495      0.08156      1.68193      0.02482
  0.8243  34.48      1.69292      0.08197      1.64972      0.02548
  0.8215  34.77      1.66156      0.08189      1.61820      0.02622
  0.8186  35.05      1.63061      0.08140      1.58710      0.02677
  0.8158  35.33      1.60001      0.08070      1.55633      0.02696
  0.8129  35.62      1.56990      0.08001      1.52608      0.02674
  0.8100  35.90      1.54046      0.07953      1.49650      0.02616
  0.8071  36.18      1.51165      0.07941      1.46752      0.02546
  0.8042  36.47      1.48326      0.07967      1.43892      0.02499
