!   mu    Theta      P11          P12          P33          P34
  0.9999   0.72    229.88729      0.01832    229.88709     -0.14865
  0.9996   1.65    207.61964      0.08753    207.61440     -0.70662
  0.9990   2.59    173.51134      0.18064    173.48458     -1.44646
  0.9981   3.53    135.09162      0.26142    135.01874     -2.07317
  0.9970   4.47     99.01404      0.30387     98.87518     -2.39061
  0.9956   5.41     69.33670      0.30012     69.12839     -2.36081
  0.9939   6.35     47.32450      0.25792     47.06257     -2.06970
  0.9919   7.29     32.27415      0.19290     31.98731     -1.65112
  0.9897   8.23     22.58951      0.12141     22.30851     -1.22289
  0.9872   9.17     16.59051      0.05622     16.33845     -0.85724
  0.9845  10.11     12.91736      0.00487     12.70480     -0.58074
  0.9815  11.05     10.62549     -0.03034     10.45128     -0.38900
  0.9782  11.99      9.12365     -0.05093      8.97938     -0.26345
  0.9747  12.93      8.06809     -0.06044      7.94347     -0.18340
  0.9709  13.87      7.26897     -0.06261      7.15554     -0.13198
  0.9668  14.80      6.62461     -0.06041      6.51721     -0.09751
  0.9625  15.74      6.08100     -0.05578      5.97744     -0.07272
  0.9579  16.68      5.60893     -0.04988      5.50884     -0.05351
  0.9531  17.62      5.19176     -0.04339      5.09546     -0.03780
  0.9480  18.56      4.81914     -0.03671      4.72690     -0.02459
  0.9426  19.50      4.48398     -0.03005      4.39572     -0.01336
  0.9370  20.44      4.18087     -0.02348      4.09623     -0.00373
  0.9312  21.38      3.90547     -0.01705      3.82391      0.00467
  0.9250  22.32      3.65414     -0.01076      3.57514      0.01209
  0.9187  23.26      3.42387     -0.00464      3.34700      0.01873
  0.9121  24.20      3.21215      0.00127      3.13709      0.02468
  0.9052  25.14      3.01686      0.00695      2.94339      0.03001
  0.8982  26.08      2.83618      0.01239      2.76416      0.03477
  0.8908  27.02      2.66855      0.01757      2.59786      0.03898
  0.8832  27.96      2.51265      0.02247      2.44318      0.04268
  0.8754  28.90      2.36737      0.02706      2.29903      0.04590
  0.8674  29.84      2.23176      0.03134      2.16445      0.04867
  0.8591  30.78      2.10495      0.03529      2.03859      0.05101
  0.8506  31.72      1.98617      0.03892      1.92069      0.05295
  0.8419  32.66      1.87477      0.04224      1.81010      0.05455
  0.8329  33.60      1.77017      0.04524      1.70626      0.05583
  0.8237  34.54      1.67189      0.04792      1.60868      0.05684
  0.8143  35.48      1.57945      0.05028      1.51691      0.05757
  0.8047  36.42      1.49244      0.05233      1.43052      0.05806
  0.7948  37.36      1.41047      0.05411      1.34915      0.05834
  0.7847  38.30      1.33322      0.05560      1.27248      0.05843
  0.7745  39.24      1.26041      0.05682      1.20022      0.05837
  0.7640  40.18      1.19174      0.05778      1.13209      0.05816
  0.7533  41.12      1.12696      0.05851      1.06783      0.05781
  0.7424  42.06      1.06581      0.05902      1.00720      0.05734
  0.7313  43.00      1.00811      0.05933      0.95000      0.05679
  0.7200  43.94      0.95365      0.05944      0.89604      0.05615
  0.7086  44.88      0.90224      0.05936      0.84512      0.05545
  0.6969  45.82      0.85369      0.05913      0.79707      0.05467
  0.6850  46.76      0.80785      0.05876      0.75171      0.05384
  0.6730  47.70      0.76457      0.05826      0.70891      0.05299
  0.6608  48.64      0.72370      0.05763      0.66854      0.05210
  0.6484  49.58      0.68511      0.05689      0.63043      0.05117
  0.6358  50.52      0.64866      0.05606      0.59447      0.05023
  0.6230  51.46      0.61425      0.05515      0.56054      0.04927
  0.6101  52.40      0.58175      0.05417      0.52852      0.04831
